brand,fuel_type,transmission,year,car_age,km_driven,owners,selling_price
Ford,Diesel,Manual,2015,10,111104,1,265000.0
Honda,Diesel,Manual,2015,10,115352,1,342000.0
Toyota,Diesel,Manual,2024,1,500,1,960000.0
Toyota,Petrol,Manual,2022,3,24189,4,755000.0
Maruti Suzuki,Petrol,Manual,2016,9,103194,2,227000.0
Ford,Diesel,Manual,2015,10,126580,1,222000.0
Mahindra,Petrol,Manual,2019,6,77907,1,561000.0
Ford,Diesel,Automatic,2023,2,26107,2,713000.0
Maruti Suzuki,Petrol,Manual,2016,9,101252,1,252000.0
Maruti Suzuki,Diesel,Manual,2018,7,89090,2,346000.0
Honda,Petrol,Manual,2016,9,100829,1,362000.0
Mahindra,Petrol,Automatic,2015,10,123663,1,381000.0
Ford,Diesel,Automatic,2021,4,74978,1,574000.0
Hyundai,Petrol,Manual,2014,11,153068,2,153000.0
Tata,Petrol,Manual,2018,7,96983,3,266000.0
Hyundai,CNG,Manual,2013,12,132140,1,145000.0
Mahindra,Diesel,Automatic,2014,11,129934,2,398000.0
Maruti Suzuki,CNG,Automatic,2014,11,133016,1,174000.0
Maruti Suzuki,Petrol,Manual,2022,3,32135,2,511000.0
Toyota,Petrol,Automatic,2019,6,71851,1,677000.0
Maruti Suzuki,Electric,Manual,2009,16,186726,1,80000.0
Maruti Suzuki,Diesel,Automatic,2019,6,87720,2,425000.0
Ford,Diesel,Manual,2013,12,155222,2,88000.0
Honda,CNG,Automatic,2016,9,100075,1,391000.0
Toyota,Petrol,Manual,2010,15,175710,1,250000.0
Maruti Suzuki,Diesel,Manual,2015,10,116893,1,233000.0
Ford,Diesel,Automatic,2014,11,140350,2,246000.0
Toyota,Petrol,Automatic,2019,6,80003,1,720000.0
Maruti Suzuki,Petrol,Automatic,2010,15,177716,3,80000.0
Toyota,Petrol,Manual,2013,12,150831,1,409000.0
Maruti Suzuki,Diesel,Manual,2021,4,62926,2,523000.0
Maruti Suzuki,Petrol,Manual,2021,4,57268,2,452000.0
Ford,Diesel,Manual,2023,2,22036,1,625000.0
Mahindra,Diesel,Automatic,2015,10,129675,1,475000.0
Toyota,Diesel,Automatic,2023,2,15432,3,907000.0
Tata,Petrol,Automatic,2016,9,106979,2,251000.0
Ford,Electric,Automatic,2008,17,196591,2,80000.0
Ford,CNG,Automatic,2021,4,49847,4,435000.0
Hyundai,Petrol,Manual,2024,1,15598,1,745000.0
Hyundai,CNG,Automatic,2020,5,50533,1,562000.0
Mahindra,Diesel,Automatic,2022,3,29817,2,770000.0
Mahindra,Petrol,Manual,2024,1,4855,1,795000.0
Tata,Petrol,Automatic,2014,11,151112,2,186000.0
Toyota,Petrol,Automatic,2017,8,104384,1,603000.0
Toyota,Diesel,Manual,2016,9,105052,3,497000.0
Ford,Petrol,Manual,2023,2,26168,2,628000.0
Tata,Diesel,Manual,2019,6,62531,1,407000.0
Tata,Petrol,Manual,2024,1,17592,1,615000.0
Mahindra,Petrol,Manual,2017,8,96014,1,480000.0
Tata,Petrol,Manual,2009,16,192558,3,80000.0
Volkswagen,Diesel,Manual,2008,17,221064,3,80000.0
Honda,CNG,Automatic,2018,7,86247,1,484000.0
Volkswagen,Petrol,Automatic,2009,16,191772,2,80000.0
Hyundai,Diesel,Automatic,2011,14,171589,1,167000.0
Tata,Diesel,Automatic,2024,1,7078,1,712000.0
Volkswagen,Petrol,Automatic,2012,13,162115,2,169000.0
Honda,Petrol,Automatic,2023,2,11640,1,745000.0
Toyota,Petrol,Automatic,2019,6,75136,2,684000.0
Toyota,Diesel,Manual,2012,13,147951,2,300000.0
Toyota,CNG,Automatic,2014,11,131902,1,433000.0
Ford,Petrol,Automatic,2018,7,91111,3,370000.0
Mahindra,Petrol,Automatic,2017,8,103089,1,513000.0
Tata,Petrol,Automatic,2023,2,26319,2,577000.0
Toyota,Petrol,Manual,2019,6,55703,3,643000.0
Ford,Petrol,Manual,2015,10,122581,2,163000.0
Tata,Petrol,Manual,2024,1,12459,1,580000.0
Hyundai,Petrol,Automatic,2022,3,36557,4,599000.0
Tata,Petrol,Automatic,2022,3,47609,1,585000.0
Tata,Diesel,Manual,2018,7,83112,2,344000.0
Volkswagen,Petrol,Manual,2015,10,128260,1,266000.0
Maruti Suzuki,Petrol,Manual,2024,1,6837,2,583000.0
Volkswagen,Petrol,Automatic,2013,12,133438,3,266000.0
Hyundai,Diesel,Manual,2008,17,203136,4,80000.0
Honda,Diesel,Manual,2024,1,11083,1,823000.0
Maruti Suzuki,Petrol,Manual,2024,1,25110,3,593000.0
Ford,Diesel,Automatic,2017,8,85194,1,399000.0
Maruti Suzuki,Electric,Manual,2008,17,212483,1,80000.0
Volkswagen,Petrol,Manual,2010,15,189434,2,80000.0
Tata,Petrol,Automatic,2024,1,17163,2,664000.0
Honda,CNG,Manual,2009,16,200467,1,80000.0
Honda,Petrol,Automatic,2013,12,150928,1,272000.0
Hyundai,CNG,Automatic,2011,14,177697,2,80000.0
Toyota,Diesel,Automatic,2009,16,200981,1,234000.0
Honda,Diesel,Manual,2023,2,15189,1,758000.0
Honda,CNG,Manual,2012,13,145757,1,119000.0
Mahindra,Petrol,Manual,2021,4,48459,2,568000.0
Maruti Suzuki,Petrol,Manual,2022,3,26191,1,558000.0
Maruti Suzuki,Petrol,Automatic,2024,1,13425,1,712000.0
Volkswagen,Diesel,Manual,2021,4,61159,1,635000.0
Volkswagen,Petrol,Automatic,2021,4,45134,1,689000.0
Volkswagen,Petrol,Manual,2017,8,105516,1,414000.0
Mahindra,Petrol,Automatic,2011,14,178744,1,194000.0
Toyota,Diesel,Manual,2015,10,131835,1,550000.0
Tata,Petrol,Manual,2009,16,191910,1,80000.0
Maruti Suzuki,Petrol,Manual,2013,12,142350,3,80000.0
Mahindra,Petrol,Manual,2016,9,108388,1,392000.0
Toyota,Electric,Automatic,2018,7,85898,1,826000.0
Volkswagen,Diesel,Automatic,2009,16,208346,1,158000.0
Toyota,Petrol,Automatic,2011,14,170238,1,260000.0
Ford,Diesel,Automatic,2013,12,134886,1,226000.0
Honda,Diesel,Manual,2017,8,111976,1,496000.0
Volkswagen,CNG,Manual,2012,13,175119,2,97000.0
Ford,CNG,Automatic,2019,6,77471,4,353000.0
Hyundai,Petrol,Manual,2015,10,124634,2,245000.0
Toyota,Petrol,Manual,2012,13,161227,3,224000.0
Maruti Suzuki,CNG,Manual,2015,10,134179,3,120000.0
Tata,Petrol,Automatic,2022,3,21112,1,594000.0
Hyundai,Diesel,Automatic,2014,11,120171,1,348000.0
Ford,CNG,Manual,2014,11,138625,2,139000.0
Maruti Suzuki,Petrol,Manual,2017,8,109136,1,306000.0
Tata,Petrol,Automatic,2022,3,32445,1,575000.0
